ref_area,indicator,source,classif1,classif2,time,obs_value,note_indicator,note_source
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2017,2.7,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2017,2.3,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2017,2.7,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2017,3,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2016,2.7,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2016,2.3,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2016,2.9,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2016,2.8,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2015,2.6,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2015,2.3,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2015,2.7,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2015,2.5,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2014,2.8,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2014,2.4,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2014,2.9,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2014,2.8,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2013,2.8,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2013,2.5,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2013,2.9,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2013,2.9,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2012,3,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2012,2.6,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2012,3.2,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2012,2.9,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2011,3,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2011,2.6,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2011,3.2,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2011,3.4,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2010,3.1,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2010,2.6,I33:5717,S16:5840
